article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Touretteův_syndrom,48,1675209600000,24083,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Turecko,49,1675209600000,24053,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Severoatlantická_aliance,50,1675209600000,23634,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Seznam_dílů_pořadu_Výměna_manželek,51,1675209600000,23377,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Zemětřesení,52,1675209600000,23271,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Andrej_Babiš,53,1675209600000,22780,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jan_Žižka,54,1675209600000,22545,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Hromnice_(svátek),55,1675209600000,22393,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Seznam_měst_v_Česku_podle_počtu_obyvatel,56,1675209600000,22364,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jindřich_VIII._Tudor,57,1675209600000,22355,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Tomáš_Garrigue_Masaryk,58,1675209600000,22347,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Václav_Havel,59,1675209600000,22240,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Survivor_Česko_&_Slovensko:_Hrdinové_vs._Rebelové,60,1675209600000,21662,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Titanic,61,1675209600000,21413,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jaromír_Jágr,62,1675209600000,21392,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Svatý_Valentin,63,1675209600000,21320,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Tchaj-wan,64,1675209600000,20807,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Tektonická_deska,65,1675209600000,20612,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Marie_Terezie,66,1675209600000,20558,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Bohuslav_Svoboda,67,1675209600000,20537,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
YouTube,68,1675209600000,20404,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Seznam_států_světa_podle_počtu_obyvatel,69,1675209600000,19954,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Evropská_unie,70,1675209600000,19875,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Členský_stát_Evropské_unie,71,1675209600000,19765,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
František_Josef_I.,72,1675209600000,19691,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Dominik_Hašek,73,1675209600000,19656,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Marvel_Cinematic_Universe,74,1675209600000,19567,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Survivor_Česko_&_Slovensko,75,1675209600000,19304,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Bitva_u_Thermopyl,76,1675209600000,19251,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Aspergerův_syndrom,77,1675209600000,19129,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Adolf_Hitler,78,1675209600000,19106,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Alžběta_Bavorská,79,1675209600000,18847,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Seznam_kouzel_z_Harryho_Pottera,80,1675209600000,18574,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Vlasta_Redl,81,1675209600000,18441,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Spojené_království,82,1675209600000,18430,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
